No.;Time;Time 2;Time;Delay 1;Delay 2;
2743;5,56781;5,94037;5,56781;0,37256;0,006498;-0,36606
2953;5,94037;5,94687;5,94037;0,0065;0,358844;0,35235
2954;5,94687;6,30571;5,94687;0,35884;20,015131;19,65629
3150;6,30571;26,32084;6,30571;20,01513;0,375288;-19,63984
13803;26,32084;26,69613;26,32084;0,37529;0,00661;-0,36868
13976;26,69613;26,70274;26,69613;0,00661;0,361858;0,35525
13983;26,70274;27,0646;26,70274;0,36186;20,014767;19,65291
14182;27,0646;47,07936;27,0646;20,01477;0,368093;-19,64667
24802;47,07936;47,44746;47,07936;0,36809;0,00635;-0,36174
24996;47,44746;47,45381;47,44746;0,00635;0,37044;0,36409
24998;47,45381;47,82425;47,45381;0,37044;20,001634;19,63119
25221;47,82425;67,82588;47,82425;20,00163;0,376661;-19,62497
35321;67,82588;68,20254;67,82588;0,37666;0,007308;-0,36935
35541;68,20254;68,20985;68,20254;0,00731;0,361122;0,35381
35545;68,20985;68,57097;68,20985;0,36112;20,01407;19,65295
35699;68,57097;88,58504;68,57097;20,01407;0,353562;-19,66051
45890;88,58504;88,9386;88,58504;0,35356;0,006315;-0,34725
46091;88,9386;88,94492;88,9386;0,00632;0,352758;0,34644
46114;88,94492;89,29768;88,94492;0,35276;20,022685;19,66993
46273;89,29768;109,32036;89,29768;20,02269;0,384608;-19,63808
56523;109,32036;109,70497;109,32036;0,38461;0,001469;-0,38314
56710;109,70497;109,70644;109,70497;0,00147;0,358092;0,35662
